"","i","audio_ocr_text","topic"
"1",3137158376,"happy happy birthday happy birthday happy happy birthday to you happy happy happy birthday happy gmyogiadityanath happy birthday isho nakash aziz myogiadityanath happy birthday to adityanath maharaj ji honorable hindu emperor yogi ishq",1
"2",3132211611,"i changed the hurt in my eyes i changed the truth in my eyes i changed the chair in my eyes i changed something in my eyes everything changed in my eyes ",1
"3",3141131962,"if you give did you lose someone diya if you give many a fashin tibus diya diya i also diya someone once asked me many years ago why is there so much shine on your face i gave you an easy answer if there is so much dust in my hair i work hard and i make my face with the same dust hence the glow you have shed your beauty angel you are going this beauty is beautiful this beauty is beautiful this beauty is beautiful i i i i a a k bhi bhi bhi bhi bhi kis kis kiya kiya kiya kiya main ya fashion fashion fashion kabhi kabhi kabhi kabhi kabhi kabhi kabhi kya kya kya kya kya kya diya diya diya diya diya diya k ndtv fa tumne tumne tumne tumne tumne tumne tumne kabi tumine kisiko kisiko kisiko kisiko kisiko kisiko kisiko gf ine ine groom groom groom eisiko oroom tips tips tips diy siko diwa maine ie",1
"4",3142385520,"today i remember manish ji very fondly this was his wish these people want the education revolution of delhi to be ruined they will not let it be ruined their wish was that every child should get the best education if there are big eyes missing in the country manish isodya has been put in jail for the country he has been made a good school and is giving bad education to the children he has got trouble he has been made a good school and he is giving bad education to the children he has got the trouble that such a good school is like this we are becoming members of the aam aadmi party i am going to other countries everyone is waiting for the same in the entire country the results of the children will be better the children of the poor will get good education this is why we are facing problems to fulfill their dreams dont let their work stop Today Manish ji's biggest memory is that his dream is that these people want that the education revolution of Delhi should be destroyed. They are not using it. His dream is that the children should get good education from the beginning. They have been told to file fake cases. They have put a man in jail since he was a dacoit, he is a ghost in the country, the bad guys in the country don't put him in jail, that's why he has been put in jail, he is making Sisodia think that he is giving good education to the good school children in the world too. We are talking about the poor people of the country and in the evening, the children of poor people are getting poor education, that is why they are suffering, we are here to make their dreams come true.",1
"5",3173423252,"this goddamn country is still running on things created by congress look nahru jis engine is taking modi jis vande barat train by ear this is the condition of bande barat and it wants congresss engine and modi jis jandi hari hari agfu agar iep pal lade agfu Even today, the country is running on things created by Congress. This is Modi's train, Nehru's engine. Modi ji is speaking the truth, the truth is true, the truth is true, the sound of truth is true, it is the voice of truth. The sound of the truth The sound of the pain The sound of the truth The truth of the truth The sound of the truth The sound of the truth The sound of the truth The sound of the truth",1
"6",3149465629,"all this knowledge and these courses now we will have to do something or the other to provide education which will help you in getting employment i hope that the children coming out of here get a quick job it is my belief that the efficiency of the chancellor of every institution was rejected by how many of its graduates the children born to you were immediately rejected how many children who came out got instant rejection how many children came out and got instant job how many of your children got immediate retirement This whole system was created by Macaulay in the year 1830, the system of education in our country which we have seen is a very good system which has been in existence since the advent of England, the education system of the villages which we have given to us has been created by England in history. Today we have the same education system as we do B.Com, the benefit of doing a degree is not to get a job, then now we have to give such education to some people, which will ultimately provide you employment. I hope that the students coming out from here will get a job immediately. But I believe that in Indraprastha University, Guru Gobind Singh is the vice chancellor of the university. This issue of accountability should be fixed. How important is it for the children to get jobs? It should be necessary that there are jobs to be fired. If all the children are employed in this country then we are barbarians who say that we are the ones who did not give jobs and did not do the jobs.",1
"7",3151865644,"amaj bhadi nujwaan aapre tipu bahiga se yeh bhi janta chathte hoon eki sv manic amare sabe to bubay lij water lij ye ji mein lede wesbuk akaon water puch lij to hum to seetha sitha bath used to seetha seetha bath used to but taidli when i told him that grandmas tidlis tidlis tidlis tidlis tidlis tidlis tidlis tidlis tidlis tidlis tidlis tidli were fresh it was the same that i got the grandmas paida from the grandmothers house i raised her so i told her that the old man has been there he has been there aunty was gay he has been there courtesythe lalntop politics live ► politics live ►politics live courtesy the lalntop day courtesythe lalntop courtesythe laintop courtesythe lalntop courtesythelaintop politics liv politics ive ve now nowc nov politics live ver couirtesythe lalntop courtesythe lalntor politics live lalntop alntop lntop tesythe lalntop ntop c politics live politics ve net 104 10 dia opolitics live india today a vers rte politics live apolitics live rtesy the lalntop cour now c politicsve",1
"8",3177843124,"now send cassotar and promise that we will attack you the day we want we will kill you any day and for the sake of you we will kill you first Dr. B.R. Ambedkar Political power is the master key by which all types of problems can be opened. Political power is the master key. Political power is the master key. Political power is the master key by which all types of problems can be solved. He is the Master Chavi, in Dhanharti and Dev Prasad, ninety parts are ours, ninety parts are ours, the exploited part is ours, due to which all types of problems are there, political power, He is the Master Chava Gar Ambedkar bhimarmychief 358 Ambedkar bhimamychief358, due to which all types of problems are Political advice, that master lock in the form of moon, can be broken, Political advice, that master key, Political advice, that master key, political power, that master power, from which there are all kinds of problems, from which all kinds of heads arise, from which all kinds of people do not hesitate, Rajpa Shaheed Babu Out of every hundred, martyr Babu Lalak Rajp Lal liberty, out of every hundred, ninety are exploited, he has defied the land of wealth.",1
"9",3171323645,"tesh lariyaya is the power of ashjalam tesh is the power of usman even ach khoonai is also a political party without musal to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to so so so so so so so so so so so so so so so so so so so so so so so this is hi istum ko hi shy lovely how many children center hi polisige how many khadiyya sunra to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to  facebookcom moudonto to to to to to to to miatange for mothers on bijt k k k k that that that that shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh m islam islam islam islam islam islam islam islam islam islam islam atb atb atb atb atb atb atb atb atb atb atb atb atb atb ath am slam shar vip vip islamic islamic islamic musalman musalman musalman musalman bakra bakra bakra bakra takat takat takat takat vjp ist shalkh isl 1islam abercrom shaike shabkh shaika shaikt shaik slamati islamat",1
"10",3133235082,"my brother is a muslim brother who is doomed to death here because he deceives the earth and rests his head on the earth so whatever he says is more than you it is his hindi because you say aarti three times the one who does five we pray for the youth because in this we worship on the earth because wherever god is there is no stop to him this whole world is made so that we can meet each other but we can do it anywhere on the clean sleeping land today tell modi ji that those who are killed in the sea are not muslims even after being buried on your land our india is tough k like e is shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh shaikh is is share islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam islam atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb atb ath am am am am matb matb slam slam slam slam slam slam ab lam shah shah desh comment iss jyada shat shat tanvir alam atr atr musalman isl isl shaike shaike shaik shaik shaik shaik si shal shal tumse kai aislam shaiki shaiki shaiki aib aib shalh ata shai aslam glam glam shair shaikn weam shairi shalik shati mtb shalke shaik11 shatr shaki shairk shaiku shaikii shaikit isla isla shaira ib islanm",1
