,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,in the world if someone is seriously ill and the doctor tells him that he is going to be oppressed he wants to have a less complicated blood because of the oppression the time has come to know the truth the truth is going to be oppressed rub se press ho ga prad bada gumbi gumbi prad prad bada prad bada prad bada prad bada prad bada prad bada p,11,11_angry_anger_temper_oppressed,"['angry', 'anger', 'temper', 'oppressed', 'bitterly', 'madiphar', 'upset', 'ambani', 'puda', 'tatagar']","['so you will be angry you will be angry you will be angry you will be angry you will be angry you will be angry you will be angry you will be angry you will be angry and you will be angry', 'who would not say that madam is going to be very angry when he comes to swaran mandir then in the same situation he took another big decision that if he comes and makes me nagunsa with the nose of garo mandar then he is very angry he is very angry he is very angry he is very angry he is very angry so badaga badig is hunsa so is badaga badig is hunsa so is badaga badig is hunsa so is badaga', 'apna kiya buje ye chahne kiya sune taradog your sir why should shabhis wife go to puda sir for these things what kind of temper do you have people are going to destroy everything they are my badakha deg bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye']",angry - anger - temper - oppressed - bitterly - madiphar - upset - ambani - puda - tatagar,0.9120356257392256,False
1,baby fuck everyone gggggggggggggggggggggg we have come out in so much heat just for this that we all should be given pension you can join us modi will just ask didita if our women will agree to what we say,-1,-1_bjp_manipur_india_bajbaji,"['bjp', 'manipur', 'india', 'bajbaji', 'hai', 'bashad', 'bajpas', 'minister', 'rupees', 'delhi']","['it is good when will our minister give the tea patrice is spicy in unkar 1949 isnt it 1949 and his special statement is that if i move a bit then please take 1949 how much will i get i have licked you today after going on the wheel these years are full in fiftyfive years these years are full in fiftyfive years if you want to drink then when will you send it will people care about bjp you are a journalist you show the mirror to the news you show the mirror to the news if the minister says that gas comes out of the drain and by putting a gas pipe from the drain then you show the mirror to the news you show the mirror to the news you come to the end you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out', 'all the thieves will come to mahag admandan with them there are people whose integrity is dead inside them running this party working in the interest of the people is running a shop in bihar people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people', 'adrani arvimb khejriwal sahaan any other persons digri is a better confirmation of his education than a rasfidu of a girl as a lesson it is your behavior that makes you sexy your behavior is too much your behavior itself shows how sexy you are your body tells me tujfari whose teachings you question harshly it is you who worships his teachings in the light of your eyes now you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come']",bjp - manipur - india - bajbaji - hai - bashad - bajpas - minister - rupees - delhi,0.0,False
2,it is going on this we are going to see further yadav what work is being done on gajikal i have come for vishyadams kadi and look at it you are in cools i have not come for vishyadam there is no badchyadi i have not come for any work i have not come to see it for vishyadam no if there is any work to be done by doing this loom do it do it do it do it do it do it do it do it do it do it,1,1_kejriwals_badhaga_lagar_bazar,"['kejriwals', 'badhaga', 'lagar', 'bazar', 'vajpane', 'corrupt', 'kaam', 'till', 'police', 'jail']","['bava saha banged kar sadeep this is the greatest of all he has created all the universe for them he is the author of all the universe he has kept the sacred thread of love of parleman so he has given me the opportunity to see me or in it all the mahapuris are here if they are the ultimate list of the account bill if you dig it you will dig it then it will be good they will not be able to fall down the tustanga of vedisgopa they will not be able to touch if vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega', 'even if you resign then you will restore the old pension then who has brought the pension as an employee in the last four years have you brought the permanent pension if you have been living without the old pension then you have been living as an employee now you have passed the law have crossed the line have retired pension there are three three pension old pension why did you bring the barbers pension if it is good good deen then adin should use his legs why should he use his legs if his legs are employees legs barbers pension is good his legs are employees the leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good is your leg employees leger barber pension fetish is good your leg employees leger barber pension fetish is good your leg employees leger barber pension fetish is good your leg employees lager barber pension fetish is good your leg is your lager barber pension fetish is good your lager barber pension fetish is good your lager barber pension fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good', 'today bjbs minister answered the questions and said yeh gatiya has done this only to the villagers who waddle the streets of sudakh see my friend this rana has got the guts for taking the money this is a bogus work this bogus ear has put a bogus up the child has not woken up bhitio bhadal kar to uswalo kar likar bogus kaam talve ye bogus kaan ne bogus baccha min nahan aap zaagar jo bhitiyo waddle gar to to uswale kar bogus kaam ne waddle up ye bogus kaam ne bogus kaam ne bogus kaam ne bogus kaam ne bogus bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work']",kejriwals - badhaga - lagar - bazar - vajpane - corrupt - kaam - till - police - jail,0.9156892844662811,False
3,if i heard about rahul gandhi that he would to lease his plane he would to lease his plane he would to lease a plane he would to enter a plane in the election he would to lease a plane from this way the furniture was given to people by the tail of their house but the girl did not put the vehicle in their bus nnnnnnnnnnnnnnnnnnnnnn,0,0_bjp_gandhi_bjps_rahul,"['bjp', 'gandhi', 'bjps', 'rahul', 'karnataka', 'kejriwal', 'baddhar', 'pradesh', 'modi', 'manipur']","['have you seen it in karnataka nedha and bodh of bjp did a long research and sang in the corner what is the result in your election so bjp was worried that they won a huge victory and saw the result for themselves as soon as congress party gets together bjp will win in karnataka and i am telling you from this stage that you have not seen bjp in madhya pradesh you will see congress party winning that because we are standing with the poor the whole country is sad that what narendra modiji bjp means is to torment two teen people and hand over the entire country to them kumgaresh means to stand with the poor to fight with the poor and to support the poor i have to do it millions of people who love me', 'i would to ask lg sahav that why did you come to inaugurate the university whose entire construction was done by the former government put pressure on unversti and told him that you did not get me inaugurated if bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav bav baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw baw', 'the congress talked about unemployment inflation and all these things and what the people want is given to them and elections are being held on their brotherinlaw if you dont talk about the same place then that is the ground which the congress gave what did you do local why did you do anything brag about what people want if any party had made a vada for itself then every day the jp would have given it huge revenue if the bjp had given something to the people for free then it would have brought it before the people in the name of kalyangari yojana if any other party wanted to do the same then it would have disappeared if the party had increased the party the party would have become party but congress made full use of this party in its own way']",bjp - gandhi - bjps - rahul - karnataka - kejriwal - baddhar - pradesh - modi - manipur,0.5447253235078089,False
4,there is no one who is a leader modi ji there is no one him in his rival party what is so special about it i dont have enough time to count counting the three counting the three each means a lot apart from one job tell me about railways women above 55 years of age get a single ticket in the railways modi ji has ended that modi ji well done well done,-1,-1_bjp_manipur_india_bajbaji,"['bjp', 'manipur', 'india', 'bajbaji', 'hai', 'bashad', 'bajpas', 'minister', 'rupees', 'delhi']","['it is good when will our minister give the tea patrice is spicy in unkar 1949 isnt it 1949 and his special statement is that if i move a bit then please take 1949 how much will i get i have licked you today after going on the wheel these years are full in fiftyfive years these years are full in fiftyfive years if you want to drink then when will you send it will people care about bjp you are a journalist you show the mirror to the news you show the mirror to the news if the minister says that gas comes out of the drain and by putting a gas pipe from the drain then you show the mirror to the news you show the mirror to the news you come to the end you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out', 'all the thieves will come to mahag admandan with them there are people whose integrity is dead inside them running this party working in the interest of the people is running a shop in bihar people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people', 'adrani arvimb khejriwal sahaan any other persons digri is a better confirmation of his education than a rasfidu of a girl as a lesson it is your behavior that makes you sexy your behavior is too much your behavior itself shows how sexy you are your body tells me tujfari whose teachings you question harshly it is you who worships his teachings in the light of your eyes now you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come']",bjp - manipur - india - bajbaji - hai - bashad - bajpas - minister - rupees - delhi,0.0,False
5,but in the whole country you will not win you will be called as the one who does not win in the genealogy he is my brother malug i have to fight the battle that i have to fight dont fight it even today but in the country in the other country in bihawar in jarkan in magarbhi in bengal these people believe that fight for tomorrow i know that i may not find shine in the grubs but at least i will soften that shaky land dig up the mud that is on the walls take out the canker sores in that mud and throw it in that mud there is a city i should take it out remove the snake that is in that land so that the evil eagle will cure it there is a storm on it but who am i to blame for the sorrows and shortcomings of the temple of life if i come to juniya if i come to juniya to make a wish then i will go to the barga to bow down to worship and to whom the shortcomings of juniya are also there there is one mpldb from mudi akhraab ti kamiya will also want,1,1_kejriwals_badhaga_lagar_bazar,"['kejriwals', 'badhaga', 'lagar', 'bazar', 'vajpane', 'corrupt', 'kaam', 'till', 'police', 'jail']","['bava saha banged kar sadeep this is the greatest of all he has created all the universe for them he is the author of all the universe he has kept the sacred thread of love of parleman so he has given me the opportunity to see me or in it all the mahapuris are here if they are the ultimate list of the account bill if you dig it you will dig it then it will be good they will not be able to fall down the tustanga of vedisgopa they will not be able to touch if vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega vega', 'even if you resign then you will restore the old pension then who has brought the pension as an employee in the last four years have you brought the permanent pension if you have been living without the old pension then you have been living as an employee now you have passed the law have crossed the line have retired pension there are three three pension old pension why did you bring the barbers pension if it is good good deen then adin should use his legs why should he use his legs if his legs are employees legs barbers pension is good his legs are employees the leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good his leg employees leger barber pension fetish is good is your leg employees leger barber pension fetish is good your leg employees leger barber pension fetish is good your leg employees leger barber pension fetish is good your leg employees lager barber pension fetish is good your leg is your lager barber pension fetish is good your lager barber pension fetish is good your lager barber pension fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good your lager barber fetish is good', 'today bjbs minister answered the questions and said yeh gatiya has done this only to the villagers who waddle the streets of sudakh see my friend this rana has got the guts for taking the money this is a bogus work this bogus ear has put a bogus up the child has not woken up bhitio bhadal kar to uswalo kar likar bogus kaam talve ye bogus kaan ne bogus baccha min nahan aap zaagar jo bhitiyo waddle gar to to uswale kar bogus kaam ne waddle up ye bogus kaam ne bogus kaam ne bogus kaam ne bogus kaam ne bogus bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work bogus work']",kejriwals - badhaga - lagar - bazar - vajpane - corrupt - kaam - till - police - jail,1.0,False
6,we have got a latrine as per the consent of modi government see the natives i am not going to talk about the business the common public is the common public,-1,-1_bjp_manipur_india_bajbaji,"['bjp', 'manipur', 'india', 'bajbaji', 'hai', 'bashad', 'bajpas', 'minister', 'rupees', 'delhi']","['it is good when will our minister give the tea patrice is spicy in unkar 1949 isnt it 1949 and his special statement is that if i move a bit then please take 1949 how much will i get i have licked you today after going on the wheel these years are full in fiftyfive years these years are full in fiftyfive years if you want to drink then when will you send it will people care about bjp you are a journalist you show the mirror to the news you show the mirror to the news if the minister says that gas comes out of the drain and by putting a gas pipe from the drain then you show the mirror to the news you show the mirror to the news you come to the end you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out', 'all the thieves will come to mahag admandan with them there are people whose integrity is dead inside them running this party working in the interest of the people is running a shop in bihar people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people', 'adrani arvimb khejriwal sahaan any other persons digri is a better confirmation of his education than a rasfidu of a girl as a lesson it is your behavior that makes you sexy your behavior is too much your behavior itself shows how sexy you are your body tells me tujfari whose teachings you question harshly it is you who worships his teachings in the light of your eyes now you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come']",bjp - manipur - india - bajbaji - hai - bashad - bajpas - minister - rupees - delhi,0.0,False
7,ours will be better than others only if we give it to others,14,14_gangster_saying_good_boy,"['gangster', 'saying', 'good', 'boy', 'friend', 'brother', 'bad', 'barte', 'came', 'meet']","['you are after the good we are after the bad', 'one look at this small beer there is also a place which was known to you come brother beer is also at a place this is also a place this is also this this is also a place this is also a place this is also a place and see the name of the barte boy what kind of gangster brother came brother better barte is of a boy and this is a gangster anga is brother', 'achcha friend why is it good friend that is the meaning he can be called by any name where he is not there he may not reply to the next message he may not meet you every day he will not be in your childhood he will not be there he will be there he will be there he will not be there he will not reply to you he will not reply to the message whoda whoda whoda whoda whoda whoda whoda whoda whoda whoda whoda whoda whoda whoda woda whoda']",gangster - saying - good - boy - friend - brother - bad - barte - came - meet,1.0,False
8,mother you and the sisters the children of my country keep complaining that modi ji has not given you a job so i wanted to tell them that the children who are making waves in water and water are khandu daan musse ada now we have become the crowd we are not busy now we are not there for you we are not busy now we are not busy now we are not busy now we are not busy now we are not busy now we are not,-1,-1_bjp_manipur_india_bajbaji,"['bjp', 'manipur', 'india', 'bajbaji', 'hai', 'bashad', 'bajpas', 'minister', 'rupees', 'delhi']","['it is good when will our minister give the tea patrice is spicy in unkar 1949 isnt it 1949 and his special statement is that if i move a bit then please take 1949 how much will i get i have licked you today after going on the wheel these years are full in fiftyfive years these years are full in fiftyfive years if you want to drink then when will you send it will people care about bjp you are a journalist you show the mirror to the news you show the mirror to the news if the minister says that gas comes out of the drain and by putting a gas pipe from the drain then you show the mirror to the news you show the mirror to the news you come to the end you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out you come out', 'all the thieves will come to mahag admandan with them there are people whose integrity is dead inside them running this party working in the interest of the people is running a shop in bihar people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people people', 'adrani arvimb khejriwal sahaan any other persons digri is a better confirmation of his education than a rasfidu of a girl as a lesson it is your behavior that makes you sexy your behavior is too much your behavior itself shows how sexy you are your body tells me tujfari whose teachings you question harshly it is you who worships his teachings in the light of your eyes now you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come']",bjp - manipur - india - bajbaji - hai - bashad - bajpas - minister - rupees - delhi,0.0,False
9,a bird does not become a pigeon by flying at a height baniste saan what are these and what are not only time has shown us guts cannot be burnt with hot water if you conflict with our wishes your head will break,12,12_allah_prophet_allahs_worship,"['allah', 'prophet', 'allahs', 'worship', 'gardener', 'allaah', 'seeds', 'seed', 'cow', 'desire']","['in his work and in the reaping it became clear that there is a new desire for this time but peter has brought a minister he is asking whether the desire is not happening yet there will be a new desire the weed will sow its own seeds america will do to us nab did not know didis did not know didis did not know the cow media did not know those who drank oil whoever saw it now understood that one thing son he is a cow so he will eat someone else has started measuring and such a live and is going on other son if this turns out to be true then it will be true that if the empty nest is filled with help or the desire is about to change then i will give them the power of the desire the respect for someone else or the person will be happy or god is doing the same thing whos going behind whom without seed is going on', 'the first thing you see is the document that since the year 2000 animals are being born in human form in sweden in 2007 it was said that the prophet peace and blessings of allaah be upon him was born and that too sweden became a city in 2012 prophet muhammad peace be upon him was born it has been burnt now and again on the same present day it will burn the sacred tree this evil has done this work which has crushed sweden in human form and this has happened on the basis of this racist government because of us our brothers our sisters sacrifice for allah allahs prophet and allahs book we have no equals there are no equals in the world in our view the animal in human form is the first to cut off its feet even after that swedens jordan is on the throne', 'if the gardener accepts the worship of those who listen to his mind friends today many people consume nonvegetarian food and do we also worship its seven gods but what sense from today is that purposefully peoples prayers are accepted how has this latter description been described in detail in hindu scriptures iskanda purana and bhagavad gita it is said in sakanda purana that the person who spins his mind what is his life worth from today onwards man neither gets happiness in the world of death nor does he get happiness in the other world after death this latter description is also found in galava varaha purana of sakanda purana according to which the varaha incarnation of lord vishnu is called prithvi devi that man who spares flesh i neither allow his worship nor do i accept him as my devotee my lord shri krishna also said that flesh is a vengeful food on the consumption of which mans intellect begins to deteriorate and man loses his senses he loses his control from god oh god']",allah - prophet - allahs - worship - gardener - allaah - seeds - seed - cow - desire,1.0,False
